problem_id,problem_description
1,Application crashes when clicking the 'Save' button after editing a record.
2,"My internet connection is constantly dropping, affecting video calls."
3,I want a new feature that allows users to customize their dashboard layout.
4,The monthly bill shows an incorrect charge for services I cancelled last month.
5,"Website loads very slowly, especially during peak hours. Database queries are taking too long."
6,"The printer is not responding, and I can't print any documents."
7,Need to update the privacy policy document on the website.
8,User reported unauthorized access attempts to their account.
9,The data in the report does not match the source system records.
10,The mobile app's navigation menu is confusing and hard to use.
